10,"['38', '39', '118', '118', '41', '34', '118', '118', '118', '118']"
20,"['118', '118', '118', '118', '118', '118', '118', '118', '60', '118']"
30,"['118', '118', '118', '118', '118', '118', '118', '118', '118', '118']"
40,"['118', '118', '118', '118', '118', '118', '118', '118', '118', '118']"
50,"['118', '118', '118', '118', '118', '118', '118', '118', '118', '118']"
60,"['119', '118', '118', '118', '118', '118', '118', '118', '118', '118']"
70,"['118', '118', '118', '118', '118', '118', '118', '118', '118', '118']"
80,"['118', '118', '118', '118', '118', '118', '118', '118', '118', '118']"
90,"['118', '118', '118', '118', '118', '118', '118', '118', '118', '118']"
100,"['118', '118', '118', '118', '118', '118', '118', '118', '120', '118']"
200,"['118', '118', '119', '118', '119', '119', '118', '118', '118', '118']"
300,"['118', '118', '118', '119', '119', '118', '118', '118', '118', '118']"
400,"['118', '118', '118', '119', '118', '119', '120', '119', '118', '118']"
500,"['118', '118', '118', '118', '118', '118', '118', '120', '119', '119']"
